,id,title,genres,popularity,production_companies,release_date,budget,revenue,runtime,vote_average,vote_count,month,year,day_of_week,weighted_vote,popularity_category
2363,146198,Triple 9,Action,16.524,Worldview Entertainment,2016-02-19,20000000.0,12639297.0,115.0,5.9,1891.0,2,2016,4,6.107540643375994,High
2364,345920,Collateral Beauty,Drama,16.498,Village Roadshow Pictures,2016-12-06,36000000.0,88528280.0,97.0,7.2,5019.0,12,2016,1,7.083701611563382,High
2365,529983,The Poison Rose,Thriller,16.49,Millennium Films,2019-05-23,15000000.0,323754.0,98.0,4.582,267.0,5,2019,3,6.095812154696133,High
2366,470,21 Grams,Drama,16.478,This Is That Productions,2003-09-06,20000000.0,60427839.0,124.0,7.3,2727.0,9,2003,5,7.0853501475717735,High
2367,11152,The Ruins,Horror,16.475,Paramount,2008-04-02,8000000.0,22818256.0,91.0,5.9,946.0,4,2008,2,6.208324768756423,High
2368,10188,The Sisterhood of the Traveling Pants 2,Adventure,16.465,Di Novi Pictures,2008-08-06,27000000.0,44352417.0,117.0,6.2,706.0,8,2008,2,6.375849941383353,High
2369,244264,Laggies,Comedy,16.461,Anonymous Content,2014-09-25,5000000.0,2379154.0,100.0,6.1,1043.0,9,2014,3,6.295790504160548,High
2370,491926,Resistance,War,16.454,Ingenious Media,2020-03-27,15000000.0,449753.0,120.0,7.0,344.0,3,2020,4,6.62797619047619,High
2371,500475,SuperFly,Action,16.445,Columbia Pictures,2018-06-13,16000000.0,20545116.0,107.0,6.8,318.0,6,2018,2,6.572382397572079,High
2372,10139,Milk,History,16.437,Groundswell Productions,2008-11-05,20000000.0,54589558.0,128.0,7.3,1937.0,11,2008,2,7.027613210759277,High
2373,122081,Spring Breakers,Drama,16.436,Iconoclast,2013-01-24,5000000.0,31724284.0,94.0,5.2,3517.0,1,2013,3,5.48780163825548,High
2374,222899,About Last Night,Comedy,16.43,Rainforest Entertainment,2014-02-14,12500000.0,49002684.0,100.0,6.0,458.0,2,2014,4,6.342935528120713,High
2375,540158,High Strung Free Dance,Music,16.43,Castel Film,2018-09-13,15000000.0,235066.0,103.0,7.3,195.0,9,2018,3,6.630543933054393,High
2376,64678,The Art of Getting By,Drama,16.415,Goldcrest,2011-06-17,15000000.0,1406224.0,83.0,6.6,1190.0,6,2011,4,6.554337899543379,High
2377,4474,My Super Ex-Girlfriend,Comedy,16.413,Regency Enterprises,2006-07-20,15000000.0,61108981.0,95.0,5.1,1243.0,7,2006,3,5.724164065983057,High
2378,73499,The Double,Action,16.407,Industry Entertainment,2011-10-27,17000000.0,4729855.0,98.0,5.767,570.0,10,2011,3,6.233878980891719,High
